origin_id;destination_id;distance
ARC1;ARC1;1
ARC1;ARC10;3
ARC1;ARC11;3
ARC1;ARC12;3
ARC1;ARC13;3
ARC1;ARC14;3
ARC1;ARC15;3
ARC1;ARC16;3
ARC1;ARC17;4
ARC1;ARC18;4
ARC1;ARC19;4
ARC1;ARC2;2
ARC1;ARC20;4
ARC1;ARC21;4
ARC1;ARC3;2
ARC1;ARC4;2
ARC1;ARC5;2
ARC1;ARC6;2
ARC1;ARC7;2
ARC1;ARC8;3
ARC1;ARC9;3
ARC1;AVE1;12
ARC1;AVE2;13
ARC1;AVE3;14
ARC1;AVE4;13
ARC1;AVE5;12
ARC1;CAV1;17
ARC1;CAV2;17
ARC1;CAV3;18
ARC1;ESP1;9
ARC1;GDM1;9
ARC1;GDM2;8
ARC1;GDM3;9
ARC1;GDM4;8
ARC1;GDM5;8
ARC1;GDM6;7
ARC1;GDM7;6
ARC1;GDM8;5
ARC1;GDM9;6
ARC1;MAI1;10
ARC1;MAI2;11
ARC1;MAI3;10
ARC1;MAI4;9
ARC1;MAI5;10
ARC1;MTS1;11
ARC1;MTS2;11
ARC1;MTS3;12
ARC1;OAZ1;7
ARC1;OAZ2;7
ARC1;OAZ3;6
ARC1;OAZ4;6
ARC1;OAZ5;6
ARC1;OAZ6;7
ARC1;OAZ7;8
ARC1;OAZ8;5
ARC1;PRD1;10
ARC1;PRD2;9
ARC1;PRD3;10
ARC1;PRD4;11
ARC1;PRD5;8
ARC1;PRD6;9
ARC1;PRD7;10
ARC1;PRD8;7
ARC1;PRD9;7
ARC1;PRT1;11
ARC1;PRT2;11
ARC1;PRT3;10
ARC1;PV_VC;13
ARC1;PVZ2;14
ARC1;PVZ3;15
ARC1;PVZ4;16
ARC1;PVZ5;15
ARC1;PVZ6;14
ARC1;RAV1;9
ARC1;RAV10;13
ARC1;RAV2;8
ARC1;RAV3;8
ARC1;RAV4;7
ARC1;RAV5;9
ARC1;RAV6;10
ARC1;RAV7;10
ARC1;RAV8;11
ARC1;RAV9;12
ARC1;SJM1;6
ARC1;SMF1;7
ARC1;SMF10;6
ARC1;SMF11;5
ARC1;SMF12;5
ARC1;SMF2;8
ARC1;SMF3;7
ARC1;SMF4;6
ARC1;SMF5;8
ARC1;SMF6;7
ARC1;SMF7;6
ARC1;SMF8;6
ARC1;SMF9;5
ARC1;STR1;11
ARC1;STR2;12
ARC1;STR3;12
ARC1;STR4;11
ARC1;STR5;13
ARC1;STR6;10
ARC1;STR7;13
ARC1;STR8;9
ARC1;TES1;10
ARC1;TES10;7
ARC1;TES11;8
ARC1;TES12;9
ARC1;TES2;11
ARC1;TES3;12
ARC1;TES4;11
ARC1;TES5;10
ARC1;TES6;11
ARC1;TES7;12
ARC1;TES8;12
ARC1;TES9;6
ARC1;TRF1;11
ARC1;TRF2;11
ARC1;TRF3;10
ARC1;VCB1;5
ARC1;VCB2;4
ARC1;VCB3;4
ARC1;VCB4;5
ARC1;VCB5;3
ARC1;VCB6;4
ARC1;VCB7;5
ARC1;VCB8;4
ARC1;VCB9;5
ARC1;VCD10;13
ARC1;VCD11;12
ARC1;VCD12;12
ARC1;VCD2;13
ARC1;VCD3;12
ARC1;VCD4;14
ARC1;VCD5;14
ARC1;VCD6;13
ARC1;VCD7;12
ARC1;VCD8;11
ARC1;VCD9;12
ARC1;VLG1;8
ARC1;VLG2;9
ARC1;VLG3;9
ARC1;VNG1;10
ARC1;VNG10;8
ARC1;VNG11;7
ARC1;VNG12;7
ARC1;VNG2;9
ARC1;VNG3;10
ARC1;VNG4;10
ARC1;VNG5;11
ARC1;VNG6;9
ARC1;VNG7;9
ARC1;VNG8;9
ARC1;VNG9;8
ARC10;ARC1;3
ARC10;ARC10;1
ARC10;ARC11;2
ARC10;ARC12;3
ARC10;ARC13;5
ARC10;ARC14;5
ARC10;ARC15;5
ARC10;ARC16;5
ARC10;ARC17;3
ARC10;ARC18;3
ARC10;ARC19;6
ARC10;ARC2;3
ARC10;ARC20;6
ARC10;ARC21;6
ARC10;ARC3;2
ARC10;ARC4;3
ARC10;ARC5;4
ARC10;ARC6;4
ARC10;ARC7;4
ARC10;ARC8;4
ARC10;ARC9;2
ARC10;AVE1;14
ARC10;AVE2;15
ARC10;AVE3;16
ARC10;AVE4;15
ARC10;AVE5;14
ARC10;CAV1;19
ARC10;CAV2;19
ARC10;CAV3;20
ARC10;ESP1;11
ARC10;GDM1;11
ARC10;GDM2;10
ARC10;GDM3;11
ARC10;GDM4;10
ARC10;GDM5;10
ARC10;GDM6;9
ARC10;GDM7;8
ARC10;GDM8;7
ARC10;GDM9;8
ARC10;MAI1;12
ARC10;MAI2;13
ARC10;MAI3;12
ARC10;MAI4;11
ARC10;MAI5;12
ARC10;MTS1;13
ARC10;MTS2;13
ARC10;MTS3;14
ARC10;OAZ1;9
ARC10;OAZ2;9
ARC10;OAZ3;8
ARC10;OAZ4;8
ARC10;OAZ5;8
ARC10;OAZ6;9
ARC10;OAZ7;10
ARC10;OAZ8;7
ARC10;PRD1;12
ARC10;PRD2;11
ARC10;PRD3;12
ARC10;PRD4;13
ARC10;PRD5;10
ARC10;PRD6;11
ARC10;PRD7;12
ARC10;PRD8;9
ARC10;PRD9;9
ARC10;PRT1;13
ARC10;PRT2;13
ARC10;PRT3;12
ARC10;PV_VC;15
ARC10;PVZ2;16
ARC10;PVZ3;17
ARC10;PVZ4;18
ARC10;PVZ5;17
ARC10;PVZ6;16
ARC10;RAV1;11
ARC10;RAV10;15
ARC10;RAV2;10
ARC10;RAV3;10
ARC10;RAV4;9
ARC10;RAV5;11
ARC10;RAV6;12
ARC10;RAV7;12
ARC10;RAV8;13
ARC10;RAV9;14
ARC10;SJM1;8
ARC10;SMF1;9
ARC10;SMF10;8
ARC10;SMF11;7
ARC10;SMF12;7
ARC10;SMF2;10
ARC10;SMF3;9
ARC10;SMF4;8
ARC10;SMF5;10
ARC10;SMF6;9
ARC10;SMF7;8
ARC10;SMF8;8
ARC10;SMF9;7
ARC10;STR1;13
ARC10;STR2;14
ARC10;STR3;14
ARC10;STR4;13
ARC10;STR5;15
ARC10;STR6;12
ARC10;STR7;15
ARC10;STR8;11
ARC10;TES1;12
ARC10;TES10;9
ARC10;TES11;10
ARC10;TES12;11
ARC10;TES2;13
ARC10;TES3;14
ARC10;TES4;13
ARC10;TES5;12
ARC10;TES6;13
ARC10;TES7;14
ARC10;TES8;14
ARC10;TES9;8
ARC10;TRF1;13
ARC10;TRF2;13
ARC10;TRF3;12
ARC10;VCB1;7
ARC10;VCB2;6
ARC10;VCB3;6
ARC10;VCB4;7
ARC10;VCB5;5
ARC10;VCB6;6
ARC10;VCB7;7
ARC10;VCB8;6
ARC10;VCB9;7
ARC10;VCD10;15
ARC10;VCD11;14
ARC10;VCD12;14
ARC10;VCD2;15
ARC10;VCD3;14
ARC10;VCD4;16
ARC10;VCD5;16
ARC10;VCD6;15
ARC10;VCD7;14
ARC10;VCD8;13
ARC10;VCD9;14
ARC10;VLG1;10
ARC10;VLG2;11
ARC10;VLG3;11
ARC10;VNG1;12
ARC10;VNG10;10
ARC10;VNG11;9
ARC10;VNG12;9
ARC10;VNG2;11
ARC10;VNG3;12
ARC10;VNG4;12
ARC10;VNG5;13
ARC10;VNG6;11
ARC10;VNG7;11
ARC10;VNG8;11
ARC10;VNG9;10
ARC11;ARC1;3
ARC11;ARC10;2
ARC11;ARC11;1
ARC11;ARC12;2
ARC11;ARC13;4
ARC11;ARC14;5
ARC11;ARC15;5
ARC11;ARC16;5
ARC11;ARC17;4
ARC11;ARC18;2
ARC11;ARC19;6
ARC11;ARC2;3
ARC11;ARC20;6
ARC11;ARC21;6
ARC11;ARC3;2
ARC11;ARC4;2
ARC11;ARC5;3
ARC11;ARC6;4
ARC11;ARC7;4
ARC11;ARC8;4
ARC11;ARC9;3
ARC11;AVE1;14
ARC11;AVE2;15
ARC11;AVE3;16
ARC11;AVE4;15
ARC11;AVE5;14
ARC11;CAV1;19
ARC11;CAV2;19
ARC11;CAV3;20
ARC11;ESP1;11
ARC11;GDM1;11
ARC11;GDM2;10
ARC11;GDM3;11
ARC11;GDM4;10
ARC11;GDM5;10
