route_id,route_short_name,route_type,direction_id,start_stop_id,end_stop_id,stop_sequence
1,1,0,0,INF1,PASS,INF1|ALFG1|MON3|CAIS1|MCE3|BIC3|PARR3|ENCO3|OURO3|FLU2|DL5|CNT3|PASS
1,1,0,1,PASS2,INF1,PASS2|CNT4|DL6|FLU6|OURO4|ENCO4|PARR4|BIC4|MCE4|CAIS2|MON4|ALFG5|INF1
18,18,0,0,CLRG,PASS,CLRG|CORD8|VTO4|PAL6|EQ4|IGRM2|MCE3|BIC3|PARR3|ENCO3|OURO3|FLU2|DL5|CNT3|PASS
18,18,0,1,PASS2,CLRG,PASS2|CNT4|DL6|FLU6|OURO4|ENCO4|PARR4|BIC4|MCE4|IGRM1|EQ3|PAL7|VTO4|CORD8|CLRG
106,ZF,3,1,FRC,VAL,FRC|FRCL2|ISG2|ACBL2|VGM2|ISNT2|NTRT2|PMEL2|RCD2|BELA2|BCH2|CDFT2|JP1|CPNH1|E109|VAL1|VAL
106,ZF,3,0,VAL,FRC,VAL|CPNH2|JP3|CDFT1|BCH1|BELA1|RCD1|PMEL1|NTRT1|ISNT1|VGM1|ACBL1|ISG1|FRCL1|FRC
107,ZC,3,0,AANT5,AREI,AANT5|EDRG1|CRJ1|PCRJ1|JFC|FSTO1|BFAL1|MCAM3|ICAM1|QBNJ2|TBNJ2|PINC2|CMP5|NDA1|EDP1|FRX3|RSH|SP3|MERL|VML|LGT1|AZV1|TVA1|PNG3|JD1|AREI
107,ZC,3,1,AREI2,AANT5,AREI2|JD4|PNG4|TVA2|AZV|LGT2|RAZ|BNJ1|ICAM2|MCAM2|BFAL2|CHOL2|CRJ2|EDRG2|AANT5
10M,10M,3,0,AL3,VDE1,AL3|1SBNT1|LPDZ|BTLH5|ESPL1|QSPL1|JMRR1|GENT2|CMG3|PDC|LGAV2|SRRS3|DP5|PREP2|BIBG1|DJM1|SO3|CCC3|CRVL1|RTP3|EBSR1|SRD1|EMZ1|HSS1|MV3|SALM1|MIM1|UVDE3|VDE1
10M,10M,3,1,VDE1,AL3,VDE1|UVDE2|MIM2|SALM2|MV2|HSS2|EMZ2|SRD2|EBSR2|RTP2|CRVL|CCC2|SO4|DJM2|BIBG2|JD2|PDC|LGAV2|HGAI1|CMG1|GENT3|JMRR2|QSPL2|ESPL2|DQL1|ALXH3|BTLH1|PRDJ|AL3
11M,11M,3,0,HSJ6,QBV1,HSJ6|ESED2|FEUP2|FEP1|CPRN4|IPRN2|CVLO|CONS2|HSM|PRSM2|GCRT2|TRD5|AL7|MS2|RBR1|ELVG1|PLU3|GNR3|CM5|GENT2|DSRR1|TRBG1|DISP1|1DEV1|1MZA1|1JFT1|1DCM1|APRD2|CMSM1|BVC2|LV1|COB4|AGOM1|RMT1|QBV1
11M,11M,3,1,QBV2,HSJ6,QBV2|RMT2|LGDM2|COB3|COB6|RGR1|APRD1|MRI1|DVE3|DISP2|TRBG2|HG3|GENT|CM3|GNR2|PLU2|ELVG2|RBR2|MS1|SBNT3|PRDJ|AAL2|TRD1|GCRT1|PRSM1|HSM1|CONS1|CVLO1|IPRN1|ISEP3|ISEP1|IB3|ST3|IPO4|HSJ6
12M,12M,3,1,SO2,AAL1,SO2|LGET2|CSSR2|SRRS2|BRRS|TCVC|ALPR1|VDV2|INFH2|TELH2|GSHP2|MAKR4|AKI2|HRC2|RFON2|APRD3|CMSM1|BVC2|LV4|PRMR2|MJP2|CDL2|LGM2|AH|28J2|CCB2|ARRB2|JA2|CHAS2|NOC|JM2|PRG6|PAL4|HSA|CORD4|AL1|TRD4|AAL1
12M,12M,3,0,AAL1,SO1,AAL1|PRFL|GGF|CMO|HSA5|PAL2|PRG3|JM1|GGT3|CHAS3|JA1|ARRB3|CCB1|28J1|EC|1ZC1|1CAP1|1MST1|MJP1|PRMR1|LV1|COB6|RGR1|APRD1|RFON1|HRC1|AKI1|MAKR3|GSHP1|TELH1|INFH1|SRRS1|CSSR1|LGET1|SO1
13M,13M,3,1,MATM1,AAL1,MATM1|MATM3|PDZ2|GODH4|PQBT4|MATC2|CRV2|DNAP4|ESGZ2|PREA2|QSEC2|HSPH2|AZC2|PREC4|AZC3|HMGL5|LDSM2|LDDM|REV2|BFTM2|ANTG2|CSR2|BRCP2|CRM1|RBSS2|SDP2|MRS2|BVCM3|BS2|PRG2|PAL4|HSA|CORD4|AL1|TRD4|AAL1
13M,13M,3,0,AAL1,MATM1,AAL1|PRFL|GGF|CMO|HSA5|PAL3|PRG1|BS1|BCM3|GRC1|CSBV|SDP1|FRB|CRM2|BRCP1|CSR1|ANTG1|BFTM1|REV1|HMGL4|PREC3|AZC1|HSPH1|QSEC1|PREA1|ESGZ1|DNAP3|CRV1|AFHQ3|ACD3|MTSP1|GODH5|LOTA1|SP1|MATM1
1M,1M,3,1,MTSP1,AL3,MTSP1|SAR2|PCID2|ETRP2|CQ8|TIM2|HMLM2|MLH2|CRTO2|PGON2|PING3|SRLZ1|PING1|MFZ2|UC2|PCL2|TRR4|PT2|PG2|FLUN2|PLM2|LRD2|JB2|FCUP2|PLNT2|GGT2|JM2|DPV4|SMAI2|MCE2|MON2|ALFG2|MRG2|RBRI2|MFB2|MS1|SBNT3|SDB5|AL3
1M,1M,3,0,AL3,MTSP1,AL3|MS2|RBRI1|MRG1|ALFG1|MON1|MCE1|SMAI1|DPV3|JM1|GGT1|PLNT1|FCUP1|JB1|LRD1|PLM1|FLUN1|PG1|PT3|TRR3|PCL1|UC1|MFZ1|PLUZ1|PGON1|CRTO1|MLH1|HMLM3|TIM1|CQ5|PCID3|PCID1|SAR1|AVM1|MTSP1
200,200,3,1,CQ10,BLRB1,CQ10|TIM2|PCV2|FCH2|MLH3|JNN2|CRTO4|LIEG2|DIU1|MFZ2|UC2|PCL2|TRR4|PT2|PG2|FLUN2|PLM2|LRD2|JB2|FCUP2|PLNT2|GGT2|JM2|PRG6|PAL4|HSA|CORD7|PRFL1|1AL3|TRD1|JN4|BLRB1
200,200,3,0,BLRB1,CQ10,BLRB1|MCBL|PRDJ|PRFL|GGF|CMO|HSA5|PAL2|PRG4|JM1|GGT1|PLNT1|FCUP1|JB1|LRD1|PLM1|FLUN1|PG1|PT3|TRR3|PCL1|UC1|MFZ1|LIEG1|CRTO3|MLH5|FCH1|HMLM3|TIM1|CQ10
201,201,3,1,VIS3,AL1,VIS3|VIS4|VIS1|IMTT2|MPAZ7|EZC2|PRO2|LDD2|CRRP2|BRV2|FTM2|PNV3|SRV4|PINM3|FOCO2|BSS2|ACRD2|AGM2|BVCM3|BS2|PRG2|PAL4|HSA|CORD7|AL1
201,201,3,0,AL1,VIS3,AL1|TRD6|PRFL|GGF|CMO|HSA5|PAL3|PRG1|BS1|BCM1|AGM1|ACRD1|BSS1|FOCO1|PINM1|SRV3|PNV2|FTM1|BRV1|LDD1|PRO1|EZC1|MPAZ5|IMTT1|VIS5|VIS3
202,202,3,1,PASS1,0AAL4,PASS1|SRLZ1|PING1|DTR|LIEG1|CRTO3|MLH5|NEVG1|LNEV1|RCRT1|LGO5|ABVT2|FTM1|BRV4|BRP2|ABM2|SJB2|SJBC2|ABSS2|RBSS2|SDP2|MRS2|BCM4|BVBR1|HML2|ICDF1|CDF1|PRR7|TRD5|AAL1|0AAL4
202,202,3,0,AAL4,PASS1,AAL4|TRD2|GCRT1|PRR1|FIG|CVA1|HML1|BVBR2|BCM3|GRC1|CSBV|SDP1|ABSS1|SJBC1|SJB1|ABM1|BRP1|BRV3|FTM2|ABVT1|LGO4|RCRT2|LNEV2|NEVG|MLH3|JNN2|CRTO4|PING3|PORI2|PASS1
203,203,3,0,MPL3,CQ10,MPL3|FG1|AQL1|PISC|BSB|BCG|SPTO1|AVF2|CSBV1|MRS2|CMS1|BCM1|AGM1|ACRD1|BSS1|FOCO1|PINM1|GC11|SRV1|JBR1|PVC1|PRI1|MFZ1|LIEG1|CRTO3|MLH5|FCH1|HMLM3|TIM1|CQ10
203,203,3,1,CQ10,MPL3,CQ10|TIM2|PCV2|FCH2|MLH3|JNN2|CRTO4|LIEG2|DIU1|MFZ2|PRI4|PVC2|JBR2|SRVM4|SRV2|GC12|PINM3|FOCO2|BSS2|ACRD2|AGM2|BVCM3|BCM2|GRC1|OLM|MRR2|MTCV|CTP|AQL2|FG2|MPL11|MPL3
204,204,3,1,RFAR1,HSJ7,RFAR1|MFZ2|UC2|PCL2|TRR4|PT2|PG2|FLUN2|PLM2|LRD2|JB2|FCUP2|PLNT2|GGT2|JM2|PRG1|BS1|BCM2|GRC1|CVI4|NAT2|BVLH3|SVP2|VFM3|ACN1|FG3|CVLO2|BJ1|ACST2|AVC1|AUL1|SAL1|OUTE3|MLAR1|FEP2|FEUP1|ESED1|HSJ10|HSJ7
204,204,3,0,HSJ7,RFAR1,HSJ7|ESED2|FEUP2|FEP1|MLAR2|OUTE4|SAL2|AUL2|AVC2|BJ3|CVLO|CPL2|VFM2|SVP1|BVLH1|NAT1|CVI6|CSBV1|MRS2|CMS2|BCM5|RBVM1|JM1|GGT1|PLNT1|FCUP1|JB1|LRD1|PLM1|FLUN1|PG1|PT3|TRR3|PCL1|UC1|MFZ1|DTR|RFAR1
205,205,3,0,CMP2,CQ8,CMP2|PBSS2|CSS3|CMP4|NDA1|EDP1|FRX2|BNJ2|LGT4|BCP2|PNG2|BRB4|SR6|SR5|FBC2|VLC2|PQN2|RNH2|RBD2|VRZL2|ARSR1|ARS5|ENX2|ASP4|HSJ12|IPO5|ST2|AML3|CPU2|VNC2|MTB2|CNG2|BRSE2|QTL2|AV2|RSR2|SRP2|RUL2|RAEP3|PREC2|AZC3|LDD9|QTI|REAL1|TVLR1|PQC1|DAH1|DAFC1|PCID4|ETRP2|CQ8
205,205,3,1,CQ8,CMP2,CQ8|PCID3|DAFC2|DAH2|PQC2|TVLR2|REAL2|1LDD6|PREC1|RAEP2|RUL1|SRP1|BRVS|RSR1|AV1|QTL1|BRSE1|CNG1|MTB1|VNC1|CPU1|AML2|ST1|IPO4|HSJ9|ASP3|ENX1|ARS4|VRZL1|RBD1|RNH1|PQN1|VLC1|FBC1|SRGB1|SR1|BRB3|PNG1|BCP1|LGT3|BNJ1|FRX4|EDP2|NDA2|CMP2
206,206,3,0,CMP1,BSEE1,CMP1|PBSS4|PCC2|BFM4|C24A5|DJOA4|RFZ1|MOR2|ESCN2|SI2|AUS|MPL7|FG1|CONS3|VFM2|SVP1|BVLH1|NAT1|CVI3|CTS|MLAM|PREL4|URBP1|URBP3|PREL1|RM3|JPAZ1|VIS3|VIS4|VIS1|JAZ1|BRVS|RSR1|AV1|QTL1|CTV1|BSEE1
206,206,3,1,BSEE2,CMP1,BSEE2|CTV2|QTL2|AV2|RSR2|JAZ2|VIS4|VIS1|VIS5|JPAZ2|RM4|PREL2|URBP4|URBP2|PREL5|MLAM3|CTS3|LUG2|SOCR|CVI5|NAT2|BVLH3|SVP2|VFM3|ACN1|CONS2|FG2|MPL11|RALG|DAM|MTT2|MOR3|MRD|C24A2|BFM2|PCC1|CMP1
207,207,3,0,CMP1,MFZ1,CMP1|PBSS2|CSS3|HER2|PRDR1|SLZ3|DQL1|ALXH3|BTLH1|PRDJ|PRFL|GGF|CMO|HSA5|PAL2|PRG4|JM1|GGT1|PLNT1|FCUP1|JB1|LRD1|ALX1|STC1|FLU4|PGM1|PJUV1|PT3|CMPT1|INSA1|BPTL1|DJ32|SRVM5|JBR1|PVC1|PRI1|MFZ1
207,207,3,1,MFZ2,CMP1,MFZ2|PRI4|PVC2|JBR2|AALB|DJ31|BPTL2|INSA2|CMPT2|PT2|PJUV2|PGM2|FLU1|STC2|ALX2|LRD2|JB2|FCUP2|PLNT2|GGT2|JM2|PRG6|PAL4|HSA|CORD7|1LOI3|1SBNT1|LPDZ|BTLH6|SLZ1|DT2|PRDR2|HER1|CSS2|PBSS1|CMP1
208,208,3,1,ALD2,0TRD6,ALD2|PFMA2|IGAL1|PDVD3|LDSM1|CSA3|1LDD|LDDM|REV2|BFTM2|ANTG2|CSR2|BRCP2|BRRM2|CRM2|IRM2|1SJB2|SJBC2|ABSS2|RBSS2|SDP2|MRS2|CMS4|BCM5|BS2|PRG2|PAL4|HSA|CORD7|PRFL1|1AL3|0TRD6
208,208,3,0,TRD6,ALD1,TRD6|PRFL|GGF|CMO|HSA5|PAL3|PRG1|BS1|BCM3|GRC1|CSBV|SDP1|ABSS1|SJBC1|1SJB1|IRM1|CRM1|BRRM1|BRCP1|CSR1|ANTG1|BFTM1|REV1|LDDM1|CSA3|LDSM2|MF1|VLN1|ALCF1|ALD1
209,209,3,1,PREL2,PAST1,PREL2|CPR2|MLAM2|CTS2|HPRL4|CVI6|CSBV1|MRS2|CMS2|RBVM1|JM1|GGT1|PLNT1|FCUP1|JB1|LRD1|ASZE1|PAST1
209,209,3,0,PAST1,PREL2,PAST1|FLUN3|PLM2|ALX1|MARB|LPC|TEC|FCA|PLNT2|GGT2|JM2|PRG1|BS1|BCM2|GRC1|CVI4|HPRL3|CTS1|MLAM1|CPR1|PREL2
2M,2M,3,1,HSJ6,AL1,HSJ6|HSJ12|IPO5|ST2|AML3|CPU2|VNC2|MTB2|CNG2|BRSE2|QTL2|AV2|RSR2|SRP2|RUL2|RAEP3|RAEP4|EZC2|PRO2|LDD2|CRRP2|BRV2|FTM2|PNV3|SRV4|PINM3|FOCO2|BSS2|ACRD2|AGM2|BVCM3|BVBR1|HML2|ICDF1|CDF1|PRR7|TRD5|AAL1|AL1
