stop_id,stop_name,stop_code,zone_id
CRG2,CORGA,CRG2,MAI4
FMGO3,FORMIGUEIRO,FMGO3,MAI4
MRT2,MIRANTE,MRT2,MAI4
FMGO4,FORMIGUEIRO,FMGO4,MAI4
PCUA1,PÍCUA,PCUA1,MAI4
CRG1,CORGA,CRG1,MAI4
SRG2,SRA. DA GUADALUPE,SRG2,MAI4
LNC2,LEONARDO COIMBRA,LNC2,MAI1
PRD1,PARADA,PRD1,MAI4
AVLM1,AV.LIDADOR DA MAIA,AVLM1,MAI4
TRM1,TERRAMONTE,TRM1,MAI4
MAIE2,MAIA (ESTÁDIO),MAIE2,MAI1
PSP1,PSP,PSP1,MAI1
SBO2,SOBREIRO,SBO2,MAI1
VBR1,VISCONDE BARREIROS,VBR1,MAI1
MAIA4,MAIA (CAMARA),MAIA4,MAI1
VBR2,VISCONDE BARREIROS,VBR2,MAI1
PIN1,PINHEIRAL,PIN1,MAI1
PRU3,PEDRAS RUBRAS,PRU3,VCD8
SL1,SANTOS LEITE,SL1,MAI1
RCNH1,R.CONCHAS,RCNH1,MAI4
ARRG1,ARREGADAS,ARRG1,MAI4
ARRG2,ARREGADAS,ARRG2,MAI4
AGR2,AGRA,AGR2,MAI4
CZG1,CRUZ. GUARDEIRAS,CZG1,VCD8
GU1,GUARDA,GU1,MAI2
GU2,GUARDA,GU2,MAI2
GUD1,GUARDEIRAS,GUD1,VCD8
GDM11,GODIM,GDM11,MAI2
GDM12,GODIM,GDM12,MAI2
RCNH2,R. CONCHAS,RCNH2,MAI4
GNDV2,GONDIVINHO,GNDV2,MAI1
AMR2,AMOROSA,AMR2,MTS2
GSUL2,GONDIVAI (SUL),GSUL2,MAI1
CAL1,CAL,CAL1,MAI1
ESP1,ESPOSADE,ESP1,MAI1
EXP1,EXPONOR,EXP1,MTS2
EXP2,EXPONOR,EXP2,MTS2
GNDV1,GONDIVINHO,GNDV1,MAI1
BAT2,BATARIA,BAT2,MTS2
SR2,S. ROQUE,SR2,PRT3
STG4,SANTEGÃOS,STG4,MAI4
TMEI1,TV.MEIRAL,TMEI1,GDM1
FARM1,FORÇAS ARMADAS,FARM1,MAI4
AAS2,ANTÓNIO  AUG.SILVA,AAS2,GDM1
MED1,MEDANCELHE,MED1,MAI4
CTN1,CASTANHEIRA,CTN1,MAI4
CHV2,CHÃO VERDE,CHV2,GDM1
INFS2,INFANTE SANTO,INFS2,GDM1
STG3,SANTEGÃOS,STG3,MAI4
VFRR1,VALE FERREIROS,VFRR1,GDM1
ECC2,ENTRE CANCELAS,ECC2,GDM1
MTP2,MONTE PEDRO,MTP2,GDM1
ASRR4,ALTO DA SERRA,ASRR4,GDM1
VFRR2,VALE FERREIROS,VFRR2,GDM1
ECC1,ENTRE CANCELAS,ECC1,GDM1
SXO2,SEIXO,SXO2,GDM1
SXO1,SEIXO,SXO1,GDM1
CMPO1,IGREJA CAMPO,CMPO1,VLG3
TPT2,TV. DA PONTE,TPT2,PRT3
RF1,RIO FERREIRA,RF1,GDM2
ACD1,AFONSO CORDEIRO,ACD1,MTS1
ERM2,ERMESINDE (ESTAÇÃO),ERM2,MAI4
ERM3,ERMESINDE (ESTAÇÃO),ERM3,MAI4
PVH1,PAVILHÃO CPN,PVH1,MAI4
PTCR2,PORTO CARREIRO,PTCR2,MAI4
TVG1,TRAVAGEM,TVG1,MAI4
MSHP3,MAIASHOPPING,MSHP3,MAI4
SA3,SÁ,SA3,MAI4
SA4,SÁ,SA4,MAI4
FMGC1,FORMIGA CEMITÉRIO,FMGC1,MAI4
COVN2,COVINA,COVN2,MAI4
4CAM4,4 CAMINHOS,4CAM4,MAI4
MSHP4,MAIASHOPPING,MSHP4,MAI4
FND2,FUNDIÇÃO,FND2,MAI4
CHAO2,CHÃOS,CHAO2,MAI4
CHAO1,CHÃOS,CHAO1,MAI4
PHIP2,PEDRO HISPANO,PHIP2,MAI4
PVH2,PAVILHÃO CPN,PVH2,MAI4
CML2,CAMÉLIAS,CML2,MAI4
PINH1,PINHEIRO,PINH1,MAI4
VASG1,VASCO DA GAMA,VASG1,MAI4
GAN1,GANDRA,GAN1,MAI4
PML1,PALMILHEIRA,PML1,MAI4
CML1,CAMÉLIAS,CML1,MAI4
9AG2,9 DE AGOSTO,9AG2,MAI4
SONH,SONHOS,SONH,MAI4
ERMI1,ERMESINDE (IGREJA),ERMI1,MAI4
STNH2,SOUTINHO,STNH2,MAI4
COD,LGO DA CODICEIRA,COD,VLG2
TAZ1,TAPADA AZEVEDO,TAZ1,VLG1
FS1,FLOR DA SERRA,FS1,VLG1
ASRR3,ALTO DA SERRA,ASRR3,VLG1
CTS,CASTELOS,CTS,PRT1
CTV1,COTOVIAS,CTV1,PRT2
URBP2,URB. PRELADA,URBP2,PRT2
PREL4,PRELADA,PREL4,PRT1
BRCP2,BR. CAMPINAS,BRCP2,PRT2
QTL2,QUARTEL MILITAR,QTL2,PRT2
PNV2,PAULO NOVAIS,PNV2,PRT2
RBSS2,ROT. DO BESSA,RBSS2,PRT1
EZC2,EZEQUIEL CAMPOS,EZC2,PRT2
FTM1,FONTE DA MOURA,FTM1,PRT2
PRO2,PEREIRÓ,PRO2,PRT2
SDP1,SIDÓNIO PAIS,SDP1,PRT1
MPAZ1,MAN.P.AZEVEDO 1,MPAZ1,PRT2
RAEP2,ROT. A.E.P.,RAEP2,PRT2
PREC1,PRECIOSA,PREC1,PRT2
RSR1,R. DO SENHOR,RSR1,PRT2
EFRD1,ENG. FERREIRA DIAS,EFRD1,PRT2
MRS2,MOREIRA SÁ,MRS2,PRT1
RSR2,R. DO SENHOR,RSR2,PRT2
MTB1,MTE BURGOS (CIRC.),MTB1,PRT2
STLZ1,STA. LUZIA,STLZ1,PRT2
CNG1,CONGOSTAS,CNG1,PRT2
CSR2,C. SAÚDE RAMALDE,CSR2,PRT2
ANTG2,ANTUNES GUIMARÃES,ANTG2,PRT2
AV2,ALTO DO VISO,AV2,PRT2
BRSE2,BR. STO. EUGÉNIO,BRSE2,PRT2
URBP1,URB. PRELADA,URBP1,PRT2
SDP2,SIDÓNIO PAIS,SDP2,PRT1
LRD2,LORDELO,LRD2,PRT2
PCL1,PADRE LUIS CABRAL,PCL1,PRT2
VIS,VISO,VIS,MAI1
RGDU1,REGEDOURA,RGDU1,MTS1
CV2,CARVALHA,CV2,GDM1
VDAM1,VITORINO DAMASIO,VDAM1,PRT1
BS7,BOAVISTA - B.SUCESSO,BS7,PRT1
ERM4,ERMESINDE (FORUM),ERM4,MAI4
BIC3,BICALHO,BIC3,PRT1
PARR4,PONTE ARRÁBIDA,PARR4,PRT1
FLU6,FLUVIAL,FLU6,PRT2
DL5,D.LEONOR,DL5,PRT2
DL6,D.LEONOR,DL6,PRT2
PINM5,PINHEIRO MANSO,PINM5,PRT2
PINM6,PINHEIRO MANSO,PINM6,PRT2
SJB1,S. JOÃO DE BRITO,SJB1,PRT2
SJB2,S. JOÃO DE BRITO,SJB2,PRT2
FOR1,FÓRUM,FOR1,MAI1
FOR2,FÓRUM,FOR2,MAI1
RBHR1,R.BOA HORA,RBHR1,MTS1
RBHR2,R.BOA HORA,RBHR2,MTS1
RPPC1,R. PADRE PORTO CARRERO,RPPC1,MTS1
RPPC2,R. PADRE PORTO CARRERO,RPPC2,MTS1
PREG1,PESO DA RÉGUA,PREG1,PRT3
IGRL1,IGREJA DE LEÇA,IGRL1,MTS2
PCVL1,PERO COVILHÃ,PCVL1,MTS2
PCVL2,PERO COVILHÃ,PCVL2,MTS2
SOLP1,SOL POENTE,SOLP1,MTS2
BLM,BOLHÃO (METRO),BLM,PRT1
PNHL1,PINHAL,PNHL1,MAI4
PNHL2,PINHAL,PNHL2,MAI4
APRD2,ARCO DO PRADO,APRD2,VNG1
PISA1,PISÃO,PISA1,MAI4
PISA2,PISÃO,PISA2,MAI4
PMAI1,1º DE MAIO,PMAI1,MAI4
QULH2,QUELHAS,QULH2,MAI4
RARR1,ARROTEIA,RARR1,MAI4
RARR2,ARROTEIA,RARR2,MAI4
ARRV1,ARREGADAS (VIADUTO),ARRV1,MAI4
ARRV2,ARREGADAS (VIADUTO),ARRV2,MAI4
VESS2,VESSADA,VESS2,MAI4
TESC2,TV.ESCOLAS,TESC2,MAI4
VESS1,VESSADA,VESS1,MAI4
TESC1,TV.ESCOLAS,TESC1,MAI4
MAII1,MAIA (IGREJA),MAII1,MAI1
JQA2,JOAQUIM ANDRADE,JQA2,MTS2
PFTT1,PERAFITA,PFTT1,MTS2
GTN1,GATANHAL,GTN1,MTS2
GTN2,GATANHAL,GTN2,MTS2
TTS2,TV.TRÁS,TTS2,MTS2
BLD2,BALDÕES,BLD2,MTS2
LND1,C. C. LONDRES,LND1,PRT2
